customer_id,first_name,last_name,gender,date_of_birth,city,state,join_date,income,credit_score
1,Robert,Miller,M,6/24/1991,Miami,MI,5/25/2019,72701.44,800
2,Rachel,Moore,F,4/8/1983,Los Angeles,FL,7/8/2022,45445.29,432
3,Andrew,Johnson,F,9/1/1969,Charlotte,NC,9/6/2023,82261.18,613
4,Matthew,Taylor,F,8/29/1977,Atlanta,IL,8/16/2016,52771.91,520
5,Jessica,Hernandez,F,9/22/2004,Houston,GA,1/12/2023,51682.05,737
6,Robert,Lopez,F,9/9/1996,Atlanta,NC,12/9/2022,47230.3,345
7,Joshua,Jackson,F,7/7/1953,Cleveland,MI,4/30/2018,68336.63,491
8,Matthew,Miller,F,7/12/1952,Philadelphia,IL,11/21/2015,94234.49,819
9,Matthew,Martin,M,1/30/1953,Los Angeles,PA,9/5/2017,50692.79,678
10,Emily,Garcia,M,3/10/1954,Cleveland,CA,10/16/2019,103571.52,633
11,Jessica,Smith,M,2/7/1973,Detroit,OH,1/25/2020,88196.2,338
12,Michael,Taylor,M,3/25/1994,Cleveland,FL,3/23/2023,40707.96,592
13,Jane,Hernandez,M,12/1/1971,Charlotte,TX,1/30/2019,62344.5,461
14,Amanda,Moore,M,9/13/1976,Los Angeles,IL,6/12/2017,49194.99,630
15,Sarah,Taylor,M,1/1/1979,Houston,NY,10/22/2018,83299.11,403
16,Jane,Miller,F,7/31/1960,Charlotte,PA,4/12/2024,50236.73,460
17,John,Taylor,F,8/15/1950,Charlotte,GA,5/24/2015,37577.61,353
18,Amanda,Martin,F,3/3/1991,Philadelphia,OH,1/19/2016,63485.48,333
19,Amanda,Rodriguez,F,2/21/1982,Philadelphia,NY,3/13/2021,93387.88,541
20,Christopher,Taylor,M,8/1/1995,Miami,GA,5/25/2024,66149.68,412
21,Laura,Martin,M,4/1/1976,Miami,TX,6/29/2021,77968.88,617
22,Jennifer,Davis,F,3/3/1982,Chicago,MI,6/14/2023,78744.62,322
23,Andrew,Taylor,F,10/8/1951,New York,NC,8/5/2015,39754.49,417
24,Andrew,Miller,M,8/17/1994,Los Angeles,FL,2/24/2019,52012.52,511
25,Joshua,Smith,F,1/17/2003,Los Angeles,CA,3/18/2023,70129.28,717
26,Amanda,Gonzalez,F,6/11/1987,Cleveland,GA,11/27/2024,58852.9,412
27,Rachel,Jackson,F,9/18/2001,Los Angeles,OH,2/8/2021,104089.09,343
28,Michael,Jackson,F,1/8/1980,Los Angeles,IL,5/6/2021,45433.55,427
29,David,Taylor,M,1/17/1994,New York,MI,3/12/2023,51814.8,457
30,Joshua,Gonzalez,F,1/24/1987,Detroit,IL,1/30/2019,75810.89,693
31,Robert,Thomas,F,5/1/1986,Miami,OH,12/27/2022,57442.13,811
32,Daniel,Davis,M,8/4/1975,Miami,IL,6/24/2019,12163.35,344
33,Robert,Jackson,M,8/11/1951,Houston,GA,10/30/2024,108693.62,407
34,Megan,Moore,F,12/11/1984,Los Angeles,PA,11/22/2024,48513.89,518
35,Emily,Smith,M,2/16/1975,New York,IL,11/19/2021,81217.85,742
36,Ashley,Wilson,F,3/3/1961,Miami,NC,6/10/2021,44932.18,614
37,Megan,Jackson,F,3/3/1959,New York,TX,3/13/2018,52739.3,476
38,Daniel,Anderson,M,7/22/1999,Atlanta,CA,4/21/2015,37541.34,527
39,Jane,Moore,F,7/13/1979,Detroit,GA,10/10/2017,55176.13,566
40,Rachel,Johnson,F,10/3/1983,Los Angeles,NY,8/20/2015,57114.36,678
41,Andrew,Taylor,F,8/30/1967,Houston,OH,9/11/2019,67348.69,788
42,Robert,Moore,F,3/23/1986,Cleveland,MI,10/22/2019,62548.62,589
43,Amanda,Garcia,M,11/16/1964,Miami,GA,10/11/2024,41169.6,656
44,Jessica,Jackson,M,1/3/1953,Atlanta,PA,3/27/2022,59522,503
45,Andrew,Brown,F,6/6/1969,New York,MI,4/27/2019,98940.21,512
46,Michael,Smith,M,3/24/2001,Philadelphia,NC,7/20/2018,96567.81,622
47,Ashley,Davis,F,4/27/1981,Charlotte,OH,1/29/2021,79113.74,480
48,Christopher,Miller,F,11/18/1974,Los Angeles,MI,8/30/2017,83261.98,798
49,Emily,Williams,F,11/12/1993,Los Angeles,IL,10/27/2017,111216.46,619
50,Megan,Martinez,F,7/27/1967,Atlanta,GA,11/1/2023,81424.95,382
51,Jessica,Martinez,F,2/10/1969,New York,TX,11/2/2024,82883.8,602
52,Emily,Jackson,M,6/11/1999,Chicago,OH,2/6/2022,38708.34,561
53,Jane,Wilson,F,5/24/1980,Los Angeles,FL,2/8/2022,47747.39,499
54,Sarah,Johnson,M,10/8/1971,Chicago,NC,6/1/2016,69346.19,539
55,Laura,Smith,M,12/23/1974,Philadelphia,CA,7/2/2017,53851.16,594
56,Emily,Moore,F,6/7/1984,Atlanta,OH,3/12/2021,50040.89,811
57,Megan,Miller,F,12/25/1952,New York,PA,12/21/2020,52350.82,695
58,Amanda,Davis,F,7/15/1962,New York,GA,5/21/2021,41528.59,437
59,Jane,Smith,F,12/28/1974,Detroit,IL,10/3/2023,54172.31,428
60,Laura,Williams,F,9/18/1978,Charlotte,CA,4/28/2020,76788.71,348
61,Emily,Davis,M,6/5/1950,Miami,CA,1/2/2019,105926.48,592
62,Ashley,Anderson,F,5/13/1955,Miami,NC,2/16/2020,85939.64,835
63,Jennifer,Jones,F,4/12/1979,Cleveland,MI,6/26/2022,82723.11,610
64,Andrew,Williams,M,5/16/1967,Houston,PA,10/29/2023,37529.33,836
65,Jessica,Jackson,M,10/28/1965,Atlanta,MI,7/6/2021,72385.93,533
66,Ashley,Smith,F,6/27/1960,Philadelphia,IL,11/18/2024,68660.8,508
67,Jessica,Anderson,M,10/8/1974,New York,CA,6/16/2024,75814.82,393
68,Jennifer,Davis,F,10/25/1976,Charlotte,PA,9/22/2023,62786.25,626
69,James,Johnson,M,3/18/1951,Chicago,PA,1/20/2023,103241.53,524
70,Megan,Williams,M,8/22/1989,Atlanta,NY,9/23/2024,71055.51,310
71,Andrew,Wilson,F,9/3/1962,Cleveland,GA,7/31/2018,73004.47,628
72,James,Wilson,M,6/11/1967,Atlanta,CA,6/17/2017,30751.2,311
73,Daniel,Hernandez,M,2/2/1976,Cleveland,CA,1/3/2018,67866.49,334
74,Andrew,Thomas,M,6/15/1997,New York,PA,4/4/2018,92985.19,746
75,James,Brown,M,8/31/1981,Houston,MI,4/27/2018,81111.51,751
76,John,Martin,M,5/24/1972,Cleveland,CA,10/26/2020,26888.18,519
77,Robert,Jones,M,11/4/1993,New York,PA,3/14/2023,61006.5,740
78,Daniel,Wilson,F,2/12/1996,New York,CA,11/18/2016,104637.99,834
79,John,Thomas,F,1/28/1951,Houston,PA,8/30/2020,66987.19,528
80,Amanda,Moore,M,3/19/1983,Miami,NY,7/19/2016,76448.32,643
81,Jessica,Miller,F,10/2/1999,Atlanta,GA,4/22/2018,102380.19,379
82,Matthew,Martinez,F,8/11/1978,Los Angeles,PA,3/9/2020,66907.72,652
83,Joshua,Miller,F,12/22/1997,Los Angeles,CA,1/7/2024,85820.6,695
84,Christopher,Smith,M,4/24/1970,Chicago,IL,4/6/2017,78227.92,589
85,Jessica,Jackson,F,9/20/1956,Chicago,GA,9/13/2018,82502.98,754
86,Michael,Thomas,M,8/18/1998,Los Angeles,NY,2/4/2021,77584.31,427
87,Michael,Jackson,F,9/6/1991,Philadelphia,PA,12/17/2019,59047.4,842
88,John,Brown,M,5/7/1968,Los Angeles,IL,9/19/2023,61044.05,658
89,David,Moore,M,2/10/1957,Chicago,PA,12/18/2017,52908.48,826
90,Laura,Johnson,F,5/22/1950,Charlotte,MI,9/12/2018,37205.82,612
91,Robert,Smith,F,4/13/1957,Chicago,CA,1/31/2023,94890.6,374
92,Daniel,Anderson,M,9/23/1974,Philadelphia,OH,7/3/2019,70201.66,845
93,Robert,Jones,F,3/4/1991,Atlanta,NC,6/9/2022,93883.2,495
94,Daniel,Martin,F,4/1/1988,Los Angeles,TX,7/10/2015,101307.45,328
95,Jessica,Hernandez,F,7/2/1965,Houston,MI,5/8/2018,71068.35,315
96,Amanda,Martinez,M,10/26/1966,Charlotte,IL,8/28/2018,43730.22,722
97,Jane,Johnson,M,2/26/1983,New York,MI,12/8/2016,66076.24,704
98,John,Williams,F,1/22/1974,Philadelphia,FL,7/4/2023,56577.13,830
99,Jennifer,Lopez,F,8/23/1977,Chicago,PA,1/14/2016,30396.99,376
100,David,Martin,F,3/13/1973,Houston,PA,1/22/2016,59965.42,528
101,Michael,Jones,M,1/7/1996,Cleveland,TX,4/3/2021,68569.26,596
102,Amanda,Jones,M,8/20/1961,Miami,TX,9/7/2016,57133.51,809
103,Jessica,Garcia,F,12/6/1990,Los Angeles,FL,3/23/2019,54569.1,837
104,Michael,Rodriguez,F,10/17/1954,Miami,CA,5/19/2021,44449.28,625
105,John,Johnson,F,3/30/2000,Philadelphia,NC,8/10/2020,73918.44,662
106,Michael,Lopez,F,3/12/1961,Cleveland,OH,10/21/2019,107385.39,658
107,David,Williams,F,11/4/1991,Cleveland,OH,4/8/2016,95572.48,623
108,Andrew,Martin,F,12/4/2002,Cleveland,NY,1/15/2024,83072.54,625
109,Ashley,Lopez,M,5/25/1976,New York,NY,8/24/2017,83508.18,464
110,Michael,Taylor,F,11/24/1963,Philadelphia,CA,6/21/2015,67347.14,754
111,John,Martinez,M,7/5/1978,Atlanta,NY,8/25/2023,33909.74,452
112,David,Wilson,F,12/12/1992,Miami,NY,12/3/2024,62611.37,426
113,Ashley,Taylor,F,10/18/1969,Atlanta,FL,2/20/2018,50614.45,492
114,Robert,Moore,M,4/2/1992,Houston,FL,4/22/2017,73093.93,829
115,Daniel,Jackson,M,2/15/1980,Detroit,NY,8/14/2018,94664.29,309
116,Andrew,Taylor,M,3/9/1988,Charlotte,MI,3/23/2020,109468.19,391
117,Andrew,Wilson,M,6/22/1987,Charlotte,GA,11/20/2016,71292.42,438
118,Laura,Rodriguez,F,1/19/1999,Atlanta,GA,3/7/2022,36656.87,780
119,James,Davis,M,10/18/1985,Detroit,CA,2/16/2019,71253.52,748
120,Joshua,Johnson,F,1/17/2003,Detroit,OH,1/21/2021,71797.12,632
121,Robert,Gonzalez,M,4/21/1962,Los Angeles,TX,7/17/2020,83576.88,639
122,Christopher,Miller,F,5/31/1997,Houston,CA,9/19/2019,69616.09,351
123,Rachel,Rodriguez,F,12/31/1953,Philadelphia,NY,1/18/2016,71330.37,765
124,Emily,Hernandez,F,9/18/1988,Detroit,FL,3/6/2021,57358.78,774
125,David,Wilson,F,4/25/2002,Chicago,PA,8/4/2024,63761.96,700
126,Robert,Brown,F,4/23/1979,Charlotte,MI,11/13/2018,80264.65,738
127,James,Gonzalez,F,8/22/1995,Chicago,IL,5/3/2019,29830.33,808
128,Andrew,Johnson,M,8/1/1995,Houston,FL,3/21/2021,63654.23,452
129,Matthew,Jones,F,8/30/1968,Detroit,GA,8/12/2020,83758,813
130,Emily,Hernandez,M,11/13/1981,Miami,FL,1/7/2016,102814.58,802
131,James,Garcia,M,6/29/1989,Charlotte,MI,9/7/2019,62033.27,305
132,Robert,Moore,F,3/27/1988,Los Angeles,TX,1/9/2019,93707.4,799
